theta,L.bound,U.bound,proportion,modelFitted,standardizedResid,beyond2SD,category
-3.3,0.158113883,1,1,0.879312879,-0.667768837,0,Score 0
-3.2,0.025,1,1,0.866088997,-0.846077293,0,Score 0
-2.8,0.025,1,1,0.800193941,-0.566508246,0,Score 0
-2.7,0,0.975,0,0.780195646,-1.895876231,0,Score 0
-2.5,0.025,1,1,0.735762138,-0.293147258,0,Score 0
-2.3,0.158113883,1,1,0.685496696,0.333093632,0,Score 0
-2.2,0.292401774,1,1,0.658300509,0.867728622,0,Score 0
-2.1,0,0.975,0,0.629849601,-1.258011981,0,Score 0
-2,0.094299324,0.991596241,0.666666667,0.600270996,-0.001354979,0,Score 0
-1.9,0.299295056,0.925145369,0.666666667,0.569720468,0.479910141,0,Score 0
-1.8,0.34754715,0.933260489,0.7,0.538380853,0.981197802,0,Score 0
-1.7,0.244863216,0.914766586,0.625,0.506459065,0.633275127,0,Score 0
-1.6,0.12759843,0.648619889,0.357142857,0.474181865,-0.844697263,0,Score 0
-1.5,0.083889318,0.581035257,0.285714286,0.441790507,-1.150084466,0,Score 0
-1.4,0.072662038,0.52377082,0.25,0.409534497,-1.28222842,0,Score 0
-1.3,0.033826249,0.395784551,0.157894737,0.377664772,-2.235916244,1,Score 0
-1.2,0.107289248,0.502221201,0.272727273,0.346426676,-0.602381016,0,Score 0
-1.1,0.16518818,0.539607286,0.333333333,0.316053109,0.331580719,0,Score 0
-1,0.012348527,0.316982714,0.1,0.286758227,-2.101751597,1,Score 0
-0.9,0.102286134,0.48405197,0.260869565,0.258732016,0.241528136,0,Score 0
-0.8,0.029055851,0.349122097,0.136363636,0.232135996,-0.878363225,0,Score 0
-0.7,0.312970286,0.687029714,0.5,0.207100202,3.365162473,1,Score 0
-0.6,0.106907992,0.448715452,0.25,0.183721527,1.044327488,0,Score 0
-0.5,0.114616005,0.434049375,0.25,0.162063383,1.376413427,0,Score 0
-0.4,0.040335631,0.326652669,0.142857143,0.142156591,0.366177571,0,Score 0
-0.3,0.016586476,0.213773291,0.078947368,0.124001346,-0.512278665,0,Score 0
-0.2,0.041883764,0.226313163,0.111111111,0.107570035,0.397900897,0,Score 0
-0.1,0.005086468,0.142540973,0.041666667,0.092810721,-0.986645882,0,Score 0
0,0.033275094,0.218135366,0.1,0.079651048,0.814260024,0,Score 0
0.1,0.032031169,0.267378044,0.114285714,0.068002359,1.210509313,0,Score 0
0.2,0.000723104,0.14917208,0.028571429,0.057763837,-0.101133035,0,Score 0
0.3,0,0.123436119,0,0.048826488,-0.480554857,0,Score 0
0.4,0.007660736,0.20806943,0.0625,0.041076841,0.983628308,0,Score 0
0.5,0,0.10576281,0,0.034400242,-0.209922984,0,Score 0
0.6,0.000843571,0.172169456,0.033333333,0.02868369,0.802523105,0,Score 0
0.7,0,0.082211121,0,0.023818151,-0.073430846,0,Score 0
0.8,0.000872647,0.177644295,0.034482759,0.019700367,1.031937682,0,Score 0
0.9,0.000937257,0.189705617,0.037037037,0.016234158,1.139805397,0,Score 0
1,0,0.094890587,0,0.013331267,0.49255227,0,Score 0
1.1,0,0.154372513,0,0.0109118,0.769539971,0,Score 0
1.2,0.001331629,0.260280654,0.052631579,0.008904319,1.379493235,0,Score 0
1.3,0,0.185301968,0,0.007245672,0.898965297,0,Score 0
1.4,0,0.195064323,0,0.005880604,0.936317238,0,Score 0
1.5,0,0.218019361,0,0.004761226,0.974809437,0,Score 0
1.6,0,0.369416648,0,0.003846395,1.063018095,0,Score 0
1.7,0,0.284914153,0,0.003101042,1.03657985,0,Score 0
1.8,0,0.409616397,0,0.002495489,1.092923616,0,Score 0
1.9,0,0.52182375,0,0.002004792,1.138495998,0,Score 0
2,0,0.459258126,0,0.001608108,1.119306037,0,Score 0
2.1,0,0.602364636,0,0.001288116,1.174071243,0,Score 0
2.2,0,0.602364636,0,0.001030494,1.175900173,0,Score 0
2.4,0,0.975,0,0.000657335,1.411424727,0,Score 0
2.5,0,0.841886117,0,0.000524239,1.288287289,0,Score 0
2.8,0,0.975,0,0.00026468,1.413090619,0,Score 0
2.9,0,0.707598226,0,0.000210483,1.223455929,0,Score 0
3.1,0,0.975,0,0.000132901,1.413649711,0,Score 0
-3.3,0,0.841886117,0,0.118703454,0.67801245,0,Score 1
-3.2,0,0.975,0,0.131441618,0.856554005,0,Score 1
-2.8,0,0.975,0,0.19398469,0.591206224,0,Score 1
-2.7,0.025,1,1,0.2126308,1.926311039,0,Score 1
-2.5,0,0.975,0,0.253431735,0.338993771,0,Score 1
-2.3,0,0.841886117,0,0.298421314,-0.250046589,0,Score 1
-2.2,0,0.707598226,0,0.322180402,-0.748199101,0,Score 1
-2.1,0.025,1,1,0.346547078,1.358152393,0,Score 1
-2,0.008403759,0.905700676,0.333333333,0.371298502,0.14350749,0,Score 1
-1.9,0.074854631,0.700704944,0.333333333,0.396175957,-0.234323805,0,Score 1
-1.8,0.066739511,0.65245285,0.3,0.420887816,-0.669663025,0,Score 1
-1.7,0.085233414,0.755136784,0.375,0.445114305,-0.305425287,0,Score 1
-1.6,0.2886094,0.82338891,0.571428571,0.468514028,0.781154984,0,Score 1
-1.5,0.351380111,0.87240157,0.642857143,0.490732129,1.143512508,0,Score 1
-1.4,0.246510111,0.753489889,0.5,0.511409815,-0.099468458,0,Score 1
-1.3,0.487970655,0.908534215,0.736842105,0.530194844,1.911356212,0,Score 1
-1.2,0.363546962,0.792906877,0.590909091,0.546752535,0.370997009,0,Score 1
-1.1,0.319496546,0.713327452,0.518518519,0.560776752,-0.477189898,0,Score 1
-1,0.508954128,0.913428531,0.75,0.572000325,1.672034582,0,Score 1
-0.9,0.427343963,0.836236402,0.652173913,0.580204399,0.635206116,0,Score 1
-0.8,0.363546962,0.792906877,0.590909091,0.585226238,-0.019197554,0,Score 1
-0.7,0.172874222,0.528120045,0.333333333,0.586965098,-2.941653319,1,Score 1
-0.6,0.244623936,0.628206371,0.428571429,0.585385899,-1.708439944,0,Score 1
-0.5,0.347436809,0.709060177,0.53125,0.580520505,-0.605775729,0,Score 1
-0.4,0.215042829,0.594231794,0.392857143,0.572466558,-1.960108548,0,Score 1
-0.3,0.433861539,0.759612106,0.605263158,0.561383927,0.504724533,0,Score 1
-0.2,0.450344124,0.724320063,0.592592593,0.547488926,0.641427362,0,Score 1
-0.1,0.352251631,0.647748369,0.5,0.531046598,-0.443434119,0,Score 1
0,0.264078395,0.548205972,0.4,0.512361436,-1.610058625,0,Score 1
0.1,0.366458017,0.711728556,0.542857143,0.491766995,0.603307042,0,Score 1
0.2,0.313828509,0.660108585,0.485714286,0.469614921,0.208082642,0,Score 1
0.3,0.244623936,0.628206371,0.428571429,0.446263942,-0.145286388,0,Score 1
0.4,0.137456903,0.4674711,0.28125,0.42206933,-1.661320106,0,Score 1
0.5,0.1109233,0.422589318,0.242424242,0.397373329,-1.925102069,0,Score 1
0.6,0.099337865,0.422836523,0.233333333,0.372496919,-1.625105275,0,Score 1
0.7,0.229751696,0.532749055,0.372093023,0.347733207,0.420294736,0,Score 1
0.8,0.127340114,0.472384482,0.275862069,0.32334258,-0.411510712,0,Score 1
0.9,0.16518818,0.539607286,0.333333333,0.299549648,0.521757224,0,Score 1
1,0.061925721,0.320137076,0.162162162,0.276541895,-1.599511016,0,Score 1
1.1,0.029055851,0.349122097,0.136363636,0.254469847,-1.178003277,0,Score 1
1.2,0.033826249,0.395784551,0.157894737,0.233448509,-0.513292559,0,Score 1
1.3,0.035785083,0.414177491,0.166666667,0.213559812,-0.155347166,0,Score 1
1.4,0.103135514,0.559582719,0.294117647,0.194855758,1.163506179,0,Score 1
1.5,0.00168643,0.319484567,0.066666667,0.17736201,-0.786335044,0,Score 1
1.6,0,0.369416648,0,0.161081683,-0.675283416,0,Score 1
1.7,0.002298972,0.412779917,0.090909091,0.145999127,0.0813769,0,Score 1
1.8,0,0.409616397,0,0.132083562,-0.211031214,0,Score 1
1.9,0.052744951,0.8533672,0.4,0.119292436,1.767676677,0,Score 1
2,0.004210745,0.641234579,0.166666667,0.107574458,0.986753102,0,Score 1
2.1,0,0.602364636,0,0.096872237,0.4954913,0,Score 1
2.2,0,0.602364636,0,0.08712455,0.564693011,0,Score 1
2.4,0,0.975,0,0.070239675,1.116211859,0,Score 1
2.5,0,0.841886117,0,0.062976106,0.965787236,0,Score 1
2.8,0,0.975,0,0.045177188,1.222542985,0,Score 1
2.9,0,0.707598226,0,0.040389286,0.977412015,0,Score 1
3.1,0,0.975,0,0.032231268,1.277467873,0,Score 1
-3.3,0,0.841886117,0,0.001983667,1.280750836,0,Score 2
-3.2,0,0.975,0,0.002469385,1.40373685,0,Score 2
-2.8,0,0.975,0,0.005821369,1.389515584,0,Score 2
-2.7,0,0.975,0,0.007173553,1.383778754,0,Score 2
-2.5,0,0.975,0,0.010806127,1.368367049,0,Score 2
-2.3,0,0.841886117,0,0.016081991,1.207947405,0,Score 2
-2.2,0,0.707598226,0,0.019519089,1.105215351,0,Score 2
-2.1,0,0.975,0,0.023603322,1.31407315,0,Score 2
-2,0,0.707598226,0,0.028430502,1.050644312,0,Score 2
-1.9,0,0.336267117,0,0.034103575,0.684500574,0,Score 2
-1.8,0,0.308497108,0,0.040731331,0.555759113,0,Score 2
-1.7,0,0.369416648,0,0.048426631,0.570165051,0,Score 2
-1.6,0.001806781,0.33868449,0.071428571,0.057304108,0.843971427,0,Score 2
-1.5,0.001806781,0.33868449,0.071428571,0.067477364,0.717140436,0,Score 2
-1.4,0.072662038,0.52377082,0.25,0.079055689,1.933921188,0,Score 2
-1.3,0.013012164,0.331376664,0.105263158,0.092140385,0.679806384,0,Score 2
-1.2,0.029055851,0.349122097,0.136363636,0.106820789,0.802916699,0,Score 2
-1.1,0.041887396,0.337310864,0.148148148,0.12317014,0.714032977,0,Score 2
-1,0.032070937,0.378926827,0.15,0.141241449,0.504542122,0,Score 2
-0.9,0.010709966,0.280379336,0.086956522,0.161063585,-0.644334778,0,Score 2
-0.8,0.107289248,0.502221201,0.272727273,0.182637766,1.199359549,0,Score 2
-0.7,0.056421696,0.347211699,0.166666667,0.2059347,-0.271319322,0,Score 2
-0.6,0.158776038,0.523516407,0.321428571,0.230892574,1.209929019,0,Score 2
-0.5,0.092771532,0.399728264,0.21875,0.257416113,-0.308535801,0,Score 2
-0.4,0.27510856,0.661300924,0.464285714,0.28537685,2.023259095,1,Score 2
-0.3,0.175025339,0.486527054,0.315789474,0.314614727,0.141976436,0,Score 2
-0.2,0.179780375,0.436090729,0.296296296,0.34494104,-0.679282036,0,Score 2
-0.1,0.313715422,0.608278002,0.458333333,0.376142681,1.201573292,0,Score 2
0,0.355272997,0.644727003,0.5,0.407987516,1.339721994,0,Score 2
0.1,0.191324102,0.522109983,0.342857143,0.440230646,-1.147669458,0,Score 2
0.2,0.313828509,0.660108585,0.485714286,0.472621242,0.171004685,0,Score 2
0.3,0.371793629,0.755376064,0.571428571,0.50490957,0.693893528,0,Score 2
0.4,0.468068964,0.814280908,0.65625,0.536853829,1.364307455,0,Score 2
0.5,0.577410682,0.8890767,0.757575758,0.568226429,2.397353044,1,Score 2
0.6,0.541106349,0.87720519,0.733333333,0.598819391,1.532328268,0,Score 2
0.7,0.467250945,0.770248304,0.627906977,0.628448642,-0.087101641,0,Score 2
0.8,0.491676646,0.84715406,0.689655172,0.656957053,0.247617604,0,Score 2
0.9,0.423679573,0.805992841,0.62962963,0.684216194,-0.71710248,0,Score 2
1,0.679862924,0.938074279,0.837837838,0.710126837,1.819217076,0,Score 2
1.1,0.650877903,0.970944149,0.863636364,0.734618354,1.32440043,0,Score 2
1.2,0.544346918,0.939475462,0.789473684,0.757647172,0.046886681,0,Score 2
1.3,0.585822509,0.964214917,0.833333333,0.779194516,0.238356768,0,Score 2
1.4,0.440417281,0.896864486,0.705882353,0.799263638,-1.106928747,0,Score 2
1.5,0.680515433,0.99831357,0.933333333,0.817876763,0.849031556,0,Score 2
1.6,0.630583352,1,1,0.835071921,0.717806918,0,Score 2
1.7,0.587220083,0.997701028,0.909090909,0.850899831,-0.04921782,0,Score 2
1.8,0.590383603,1,1,0.865420949,0.236141587,0,Score 2
1.9,0.1466328,0.947255049,0.6,0.878702772,-1.756218337,0,Score 2
2,0.358765421,0.995789255,0.833333333,0.890817435,-0.975611805,0,Score 2
2.1,0.397635364,1,1,0.901839648,-0.486346587,0,Score 2
2.2,0.397635364,1,1,0.911844956,-0.557377227,0,Score 2
2.4,0.025,1,1,0.92910299,-1.113423023,0,Score 2
2.5,0.158113883,1,1,0.936499655,-0.963080076,0,Score 2
2.8,0.025,1,1,0.954558131,-1.221420042,0,Score 2
2.9,0.292401774,1,1,0.95940023,-0.976123072,0,Score 2
3.1,0.025,1,1,0.967635831,-1.276904022,0,Score 2
