ITEM_ID,SCOREPOINTS,MODEL_PARAMETER_0,MODEL_PARAMETER_1,MODEL_PARAMETER_2,MODEL_PARAMETER_3,MODEL_PARAMETER_4,MODEL_PARAMETER_5,MODEL_PARAMETER_6
YY53,2,0.68875,-1.58973,0.19455,,,,
OX84,3,0.76991,-1.17352,-0.31543,2.09642,,,
WZ23,1,1.02312,4,0,,,,
PI79,2,0.58979,-0.95977,1.38123,,,,
FE86,2,0.45082,-0.7787,0.86058,,,,
MT80,2,0.47064,-0.45642,0.44082,,,,
JM82,5,0.7005,-0.55645,1.56666,1.83,2.04,2.23154,
AF64,1,0.58789,-0.77418,0,,,,
YJ65,2,0.21754,-1.15913,3.05721,,,,
GI11,1,0.74883,-0.51612,0,,,,
TW37,1,0.7877,-0.47686,0,,,,
JF49,2,0.43818,-0.46875,1.40141,,,,
FO48,1,0.67052,-0.5228,0,,,,
VN88,2,0.54364,-0.33908,1.23736,,,,
TJ68,2,0.34547,-0.97222,4.74648,,,,
QZ64,1,0.61358,-0.03263,0,,,,
XA12,1,0.7998,0.1441,0,,,,
HB29,2,0.74688,0.65919,0.72109,,,,
OI90,1,0.67796,0.15047,0,,,,
